name,url,category,screenshot_status,fullshot_status,error
The Defense Reformation,https://thedefensereformation.com,Media / Public Policy,failed - fallback generated,failed - fallback generated,"Capture failed, generated fallback"
Anatoly Ivanov,https://anatoly.design,Portfolio,failed - fallback generated,failed - fallback generated,"Capture failed, generated fallback"
Rare Assembly,https://rareassembly.com,Design Studio,success,failed - fallback generated,"Full capture failed, generated fallback"
Daniel Sun,https://danielsun.co,Portfolio,failed - fallback generated,failed - fallback generated,"Capture failed, generated fallback"
TOP,https://top.studio,Design Studio,failed - fallback generated,failed - fallback generated,"Capture failed, generated fallback"
Jords+Co,https://jordsandco.com,Design Studio,failed - fallback generated,failed - fallback generated,"Capture failed, generated fallback"
&Fold™,https://andfold.co,Design Studio,failed - fallback generated,failed - fallback generated,"Capture failed, generated fallback"
Sunrise Robotics,https://sunriserobotics.com,Robotics / Hardware,failed - fallback generated,failed - fallback generated,"Capture failed, generated fallback"
Telescope,https://telescope.fyi,Media / Directory,failed - fallback generated,failed - fallback generated,"Capture failed, generated fallback"
Alone in New York,https://aloneinnewyork.com,Media / Photography,success,failed - fallback generated,"Full capture failed, generated fallback"
Orbi,https://orbi.studio,Design Studio,failed - fallback generated,failed - fallback generated,"Capture failed, generated fallback"
Not a Number,https://notanumber.io,Creative Studio,failed - fallback generated,failed - fallback generated,"Capture failed, generated fallback"
Dream Recorder,https://dreamrecorder.io,Media / Art,failed - fallback generated,failed - fallback generated,"Capture failed, generated fallback"
Adaline,https://adaline.co,Brand / Studio,failed - fallback generated,failed - fallback generated,"Capture failed, generated fallback"
Jake®,https://jake-food.com,E-commerce / Nutrition,failed - fallback generated,failed - fallback generated,"Capture failed, generated fallback"
EQ Lab,https://eqlab.io,Design / R&D,failed - fallback generated,failed - fallback generated,"Capture failed, generated fallback"
CMD+B,https://cmdb.studio,Design Studio,failed - fallback generated,failed - fallback generated,"Capture failed, generated fallback"
State of AI in Design,https://stateofai.design,Report / Research,failed - fallback generated,failed - fallback generated,"Capture failed, generated fallback"
GT Standard,https://gt-standard.com,Typeface,success,failed - fallback generated,"Full capture failed, generated fallback"
Kindsight,https://kindsight.studio,Studio / Research,failed - fallback generated,failed - fallback generated,"Capture failed, generated fallback"
Jacob Turner,https://jacobturner.design,Portfolio,failed - fallback generated,failed - fallback generated,"Capture failed, generated fallback"
Roman Tesliuk,https://romantesliuk.com,Portfolio,failed - fallback generated,failed - fallback generated,"Capture failed, generated fallback"
Navigate,https://nvg8.io,Web3 / DevTool,failed - fallback generated,failed - fallback generated,"Capture failed, generated fallback"
MMI Festival,https://festival.mmilens.fr,Festival / Photography,failed - fallback generated,failed - fallback generated,"Capture failed, generated fallback"
Distributional,https://distributional.ai,AI Research,failed - fallback generated,failed - fallback generated,"Capture failed, generated fallback"
Offgrid,https://www.offgrid-design.co,Design Studio,failed - fallback generated,failed - fallback generated,"Capture failed, generated fallback"
Gulp Studio,https://www.gulpstudio.com,Design Studio,failed - fallback generated,failed - fallback generated,"Capture failed, generated fallback"
Leverage,leverage.framer.website,Website Design,failed - fallback generated,failed - fallback generated,"Capture failed, generated fallback"
CodeFortify,codefortify.ai,AI Tool / Security SaaS,failed - fallback generated,failed - fallback generated,"Capture failed, generated fallback"
Blaze AI,blaze.ai,AI Tool / Marketing SaaS,failed - fallback generated,failed - fallback generated,"Capture failed, generated fallback"
Datafold,datafold.com,Data SaaS,failed - fallback generated,failed - fallback generated,"Capture failed, generated fallback"
Feedly,feedly.com,SaaS / AI Tool,failed - fallback generated,failed - fallback generated,"Capture failed, generated fallback"
Thunderbit,thunderbit.com,SaaS / AI Tool,failed - fallback generated,failed - fallback generated,"Capture failed, generated fallback"
Earth.fm,earth.fm,Nonprofit / Media,failed - fallback generated,failed - fallback generated,"Capture failed, generated fallback"
Pathway,pathway.cc,SaaS / Research,failed - fallback generated,failed - fallback generated,"Capture failed, generated fallback"
Osmos,osmos.social,AI Social SaaS,failed - fallback generated,failed - fallback generated,"Capture failed, generated fallback"
Viewpoint,viewpoint-saas,SaaS Template,failed - fallback generated,failed - fallback generated,"Capture failed, generated fallback"
Epsilla,epsilla.com,AI Tool / SaaS,failed - fallback generated,failed - fallback generated,"Capture failed, generated fallback"
Kernel,eatkernel.com,E-commerce / Food,failed - fallback generated,failed - fallback generated,"Capture failed, generated fallback"
ToDesktop,todesktop.com,SaaS / Dev Tool,failed - fallback generated,failed - fallback generated,"Capture failed, generated fallback"
Winkyface Studio,winkyface.studio,Design Studio,failed - fallback generated,failed - fallback generated,"Capture failed, generated fallback"
Amplemarket,amplemarket.com,AI Tool / Sales SaaS,failed - fallback generated,failed - fallback generated,"Capture failed, generated fallback"
Eisku,eisku.com,E-commerce / Furniture,failed - fallback generated,failed - fallback generated,"Capture failed, generated fallback"
Five Pathways,fivepathways.com,Fintech / Advisory,failed - fallback generated,failed - fallback generated,"Capture failed, generated fallback"
VSCO,vsco.co,Creative SaaS,failed - fallback generated,failed - fallback generated,"Capture failed, generated fallback"
Charlotte Stone,charlotte-stone.com,E-commerce / Fashion,failed - fallback generated,failed - fallback generated,"Capture failed, generated fallback"
ReturnQueen,returnqueen.com,E-commerce SaaS,failed - fallback generated,failed - fallback generated,"Capture failed, generated fallback"
Lemon Squeezy,lemonsqueezy.com,Fintech / SaaS,failed - fallback generated,failed - fallback generated,"Capture failed, generated fallback"
Fuselio,fuselio.com,SaaS / Dev Studio,failed - fallback generated,failed - fallback generated,"Capture failed, generated fallback"
Sound Ethics,soundethics.org,Nonprofit / Music,failed - fallback generated,failed - fallback generated,"Capture failed, generated fallback"
ClickFunnels,clickfunnels.com,SaaS / Marketing,failed - fallback generated,failed - fallback generated,"Capture failed, generated fallback"
Aurora Template,az-aurora,SaaS Template,failed - fallback generated,failed - fallback generated,"Capture failed, generated fallback"
CoinSwitch,coinswitch.co,Fintech / Crypto,failed - fallback generated,failed - fallback generated,"Capture failed, generated fallback"
W1tty,w1tty.com,Fintech / EdTech,failed - fallback generated,failed - fallback generated,"Capture failed, generated fallback"
Letterly,letterly.app,AI Tool / Productivity,failed - fallback generated,failed - fallback generated,"Capture failed, generated fallback"
Martex Template,martex-saas,SaaS Template,failed - fallback generated,failed - fallback generated,"Capture failed, generated fallback"
