original_name,original_slug,final_name,final_slug,url
(dot)connect,dot-connect,(dot)connect 2,dot-connect-2,https://dotconnect.vc
/dev/agents,dev-agents,/dev/agents,dev-agents,https://sdsa.ai
1/1 Studio,1-1-studio,1/1 Studio,1-1-studio,https://1of1studio.com
1000-wp-themes,1000-wp-themes,1000-wp-themes 2,1000-wp-themes-2,https://1000-wp-themes.com
12th Berlin Biennale for Contemporary Art,12th-berlin-biennale-for-contemporary-art,12th Berlin Biennale for Contemporary Art,12th-berlin-biennale-for-contemporary-art,https://12.berlinbiennale.de
15five,15five,15five 2,15five-2,https://15five.com
23° Monorigine,23-monorigine,23° Monorigine,23-monorigine,https://www.23gradicoffee.com
23×2 Fundacja,23-2-fundacja,23×2 Fundacja,23-2-fundacja,https://23x2.org
247Studio,247studio,247Studio,247studio,https://247studio.co
2LG Studio,2lg-studio,2LG Studio,2lg-studio,http://www.2lgstudio.com
2am-media,2am-media,2am-media 2,2am-media-2,https://2am-media.com
3-luxury-apartment,3-luxury-apartment,3-luxury-apartment 2,3-luxury-apartment-2,https://3-luxury-apartment.com
3d-christmas-pop-up-card,3d-christmas-pop-up-card,3d-christmas-pop-up-card 2,3d-christmas-pop-up-card-2,https://3d-christmas-pop-up-card.com
56-digital,56-digital,56-digital 2,56-digital-2,https://56-digital.com
5Point Film Festival,5point-film-festival,5Point Film Festival,5point-film-festival,https://www.5pointfilm.org
5S,5s,5S,5s,https://5scontent.com
A Big List of Good News from 2016,a-big-list-of-good-news-from-2016,A Big List of Good News from 2016,a-big-list-of-good-news-from-2016,https://abiglistofgoodnewsfrom2016.com
A Branding and Design Studio specialising in Luxury Brands.,a-branding-and-design-studio-specialising-in-luxury-brands,A Branding and Design Studio specialising in Luxury Brands.,a-branding-and-design-studio-specialising-in-luxury-brands,https://colville.walker.com
A Bureaucratic Desire For Revenge,a-bureaucratic-desire-for-revenge,A Bureaucratic Desire For Revenge,a-bureaucratic-desire-for-revenge,http://abdfr.com
A Chronology,a-chronology,A Chronology,a-chronology,https://achronology.com
A Ghost Store,a-ghost-store,A Ghost Store,a-ghost-store,https://aghoststore.com
A Magazine,a-magazine,A Magazine,a-magazine,https://amagazine.com
A New Approach,a-new-approach,A New Approach,a-new-approach,https://newapproach.org.au
A Practice for Everyday Life,a-practice-for-everyday-life,A Practice for Everyday Life,a-practice-for-everyday-life,https://apracticeforeverydaylife.com
A Practice of Everyday Life,a-practice-of-everyday-life,A Practice of Everyday Life,a-practice-of-everyday-life,https://apracticeofeverydaylife.com
A Private Kyoto Travelouge,a-private-kyoto-travelouge,A Private Kyoto Travelouge,a-private-kyoto-travelouge,https://aprivatekyototravelouge.com
A destination like no other creates experiences like no other.,a-destination-like-no-other-creates-experiences-like-no-other,A destination like no other creates experiences like no other.,a-destination-like-no-other-creates-experiences-like-no-other,https://saaristo.fi
A | r - Architectural Resources,a-r-architectural-resources,A | r - Architectural Resources,a-r-architectural-resources,https://ararchitecturalresources.com
A&Mcreative,a-mcreative,A&Mcreative,a-mcreative,http://amcreativeparis.com
A-Dam Underwear,a-dam-underwear,A-Dam Underwear,a-dam-underwear,https://www.adamunderwear.com
A. Huseby,a-huseby,A. Huseby,a-huseby,https://ahuseby.com
A.G Designer Jeweller,a-g-designer-jeweller,A.G Designer Jeweller,a-g-designer-jeweller,https://agdesignerjeweller.com
A.N Other,a-n-other,A.N Other,a-n-other,https://another.com
A24 Auctions,a24-auctions,A24 Auctions,a24-auctions,https://a24auctions.com
